,Word,MeanValence,ValenceStand,MeanArousal,type,letters,frequency,Concreteness,Img,pos,Unnamed: 10,Unnamed: 11,Unnamed: 12
52,fraud,2.05,2.05,5.18,0,5,512,1.68,381.0,noun,,,
109,phony,2.52,2.52,4.4,0,5,421,2.19,,noun,,,
46,error,3.36,3.36,4.43,0,5,473,2.68,408.0,noun,,,
111,pollution,2.0,2.0,5.19,0,9,97,3.75,509.0,noun,PosLet,,
146,unfaithful,2.33,,5.59,0,10,120,1.93,,adj,,,
23,crisis,2.05,2.05,6.25,0,6,849,2.33,375.0,noun,PosFre,,
93,maggot,2.0,2.0,5.6,0,6,81,4.97,,noun,,,
104,overwhelmed,2.8,2.8,4.9,0,11,201,1.92,,adj,,,
39,disturbance,2.68,2.68,5.19,0,11,201,2.7,,noun,,,
122,scumbag,2.48,2.48,5.1,0,7,281,3.76,,noun,,,
21,coward,2.42,2.42,4.09,0,6,734,2.93,,noun,,,
113,problem,3.52,3.52,4.81,0,7,16833,2.68,411.0,noun,,,
60,grumpy,2.81,2.81,5.05,0,6,120,2.41,,adj,,,
25,crybaby,2.95,2.95,5.05,0,7,67,3.29,,noun,,,
126,sinner,3.25,3.25,5.38,0,6,126,3.07,,noun,,,
90,loser,2.85,2.85,3.94,0,5,1381,2.35,,noun,,,
56,gloom,2.89,,3.9,0,5,59,1.86,,noun,,,
12,bitterness,3.15,3.15,5.1,0,10,72,2.36,378.0,noun,,,
5,annoying,3.0,3.0,5.55,0,8,567,2.31,,adj,,,
29,degenerate,2.7,2.7,4.68,0,10,93,2.04,,noun,,,
63,harm,1.91,1.91,5.9,0,4,1621,2.62,362.0,noun,PosVal,2.9268354430000003,
24,criticism,3.84,3.84,5.95,0,9,155,2.07,333.0,noun,,,
17,clingy,3.39,3.39,4.04,0,6,30,2.45,,adj,,,
80,inferior,3.43,3.43,4.55,0,8,156,1.7,,adj,,,
117,repulsive,1.95,,5.12,0,9,103,2.11,,adj,,,
152,unreliable,2.74,,4.29,0,10,85,1.83,,adj,,,
49,filth,2.62,2.62,4.09,0,5,231,4.14,517.0,noun,,,
116,reject,2.95,2.95,4.78,0,6,216,2.4,,noun,,,
16,captive,3.27,3.27,4.88,0,7,116,3.03,518.0,noun,,,
46,error,3.36,3.36,4.43,0,5,473,2.68,408.0,noun,,,
148,unhealthy,2.55,2.55,4.36,0,9,83,2.7,,adj,,,
153,unsuccessful,2.33,,3.36,0,12,44,2.25,,adj,,,
2,alone,3.85,3.85,4.0,0,5,15735,2.86,480.0,noun,,,
150,unlucky,2.7,2.7,2.7,0,7,210,1.79,,adj,,,
25,crybaby,2.95,2.95,5.05,0,7,67,3.29,,noun,,,
97,mistake,2.89,2.89,4.93,0,7,5200,1.97,380.0,noun,,,
0,abandonment,2.63,2.63,4.95,0,11,49,2.54,3.48,noun,,,
85,jerk,2.43,2.43,6.45,0,4,1690,3.26,479.0,noun,,,
100,negligent,2.05,2.05,4.45,0,9,51,1.92,339.0,noun,NegCon,,
159,vagrant,2.63,2.63,3.82,0,7,32,3.46,,noun,,,
107,peril,3.19,3.19,5.95,0,5,98,2.52,,noun,,,
159,vagrant,2.63,2.63,3.82,0,7,32,3.46,,noun,,,
35,disgust,3.32,3.32,5.0,0,7,141,2.19,,noun,,,
150,unlucky,2.7,2.7,2.7,0,7,210,1.79,,adj,,,
120,scoundrel,3.25,3.25,6.26,0,9,152,2.93,,noun,,,
16,captive,3.27,3.27,4.88,0,7,116,3.03,518.0,noun,,,
154,untrustworthy,2.67,2.67,4.8,0,13,21,2.0,,adj,,,
106,parasite,1.9,1.9,5.65,0,8,126,4.34,,noun,NegVal,2.8530952380000003,0.055238188
6,anxiety,2.38,2.38,4.78,0,7,345,2.21,,noun,,,
149,uninvited,3.35,3.35,4.38,0,9,71,2.39,,noun,,,
49,filth,2.62,2.62,4.09,0,5,231,4.14,517.0,noun,,,
57,grief,2.33,2.33,4.95,0,8,53,2.7,480.0,noun,,,
75,impostor,3.47,3.47,4.6,0,8,101,3.38,,noun,,,
23,crisis,2.05,2.05,6.25,0,6,849,2.33,375.0,noun,PosFre,,
145,unemployment,2.32,2.32,5.59,0,12,160,3.11,,noun,,,
77,incapable,3.55,3.55,3.9,0,9,173,1.64,,adj,,,
19,contamination,3.11,3.11,6.71,0,13,60,2.7,456.0,noun,,,
157,unworthy,2.79,2.79,4.24,0,8,97,1.93,,adj,,,
90,loser,2.85,2.85,3.94,0,5,1381,2.35,,noun,,,
159,vagrant,2.63,2.63,3.82,0,7,32,3.46,,noun,,,
145,unemployment,2.32,2.32,5.59,0,12,160,3.11,,noun,,,
28,defect,2.89,2.89,4.14,0,6,126,2.48,,noun,,,
10,badness,3.55,3.55,4.38,0,7,29,2.26,,noun,,,
166,woe,3.38,3.38,4.71,0,3,119,2.83,348.0,noun,,,
132,stress,1.79,1.79,4.72,0,6,796,2.62,,noun,,,
152,unreliable,2.74,,4.29,0,10,85,1.83,,adj,,,
139,trash,2.74,2.74,3.66,0,5,1146,4.7,599.0,noun,,,
127,sleaze,2.95,2.95,4.12,0,6,39,2.41,,noun,,,
123,selfish,3.3,3.3,4.57,0,7,811,1.92,,adj,,,
143,undesirable,3.0,3.0,4.0,0,11,33,2.22,,adj,,,
135,terrified,2.51,,6.1,0,9,488,2.43,,adj,,,
88,liar,2.41,,6.6,0,4,1792,3.43,,noun,,,
32,disappointment,2.79,2.79,4.9,0,14,277,1.93,,noun,,,
43,embarrassed,3.51,3.51,5.38,0,11,1093,2.0,,adj,,,
7,atrocity,2.95,2.95,5.0,0,8,32,2.26,404.0,noun,,,
132,stress,1.79,1.79,4.72,0,6,796,2.62,,noun,,,
70,hypocrisy,2.62,2.62,3.96,0,9,84,2.0,,noun,,,
77,incapable,3.55,3.55,3.9,0,9,173,1.64,,adj,,,
100,negligent,2.05,2.05,4.45,0,9,51,1.92,339.0,noun,NegCon,,
82,insulting,1.89,,4.7,0,9,274,2.29,,adj,,,
45,emptiness,3.26,3.26,3.18,0,9,92,2.32,,noun,,,
83,irresponsible,2.5,,5.0,0,13,237,2.04,,adj,,,
71,hypocrite,3.25,3.25,4.77,0,9,166,2.55,,noun,,,
48,faker,2.76,2.76,3.96,0,5,88,2.89,,noun,,,
153,unsuccessful,2.33,,3.36,0,12,44,2.25,,adj,,,
2,alone,3.85,3.85,4.0,0,5,15735,2.86,480.0,noun,,,
68,hesitation,3.67,3.67,3.61,0,10,94,2.59,332.0,noun,,,
37,disloyalty,2.57,2.57,5.77,0,10,23,1.5,,noun,,,
87,leper,3.3,3.3,4.24,0,5,63,3.74,,noun,,,
58,grievance,3.14,3.14,3.92,0,5,552,2.19,340.0,noun,,,
9,awkwardness,3.86,3.86,4.65,0,11,32,2.34,,noun,,,
92,lunatic,3.47,3.47,5.64,0,7,433,3.27,,noun,,,
31,deterioration,2.89,2.89,5.0,0,13,26,2.38,,noun,,,
59,gross,3.2,3.2,5.0,0,5,779,2.96,,adj,,,
103,outcast,2.86,2.86,5.17,0,7,67,2.62,,noun,,,
59,gross,3.2,3.2,5.0,0,5,779,2.96,,adj,,,
108,pest,2.67,2.67,5.14,0,4,146,3.96,445.0,noun,,,
56,gloom,2.89,,3.9,0,5,59,1.86,,noun,,,
23,crisis,2.05,2.05,6.25,0,6,849,2.33,375.0,noun,PosFre,,
146,unfaithful,2.33,,5.59,0,10,120,1.93,,adj,,,
170,achievement,7.28,2.72,5.57,1,11,178,2.37,,noun,,,
210,confident,7.56,2.44,4.62,1,9,543,2.62,,adj,,,
251,healer,7.38,2.62,3.95,1,6,84,3.52,,noun,,,
199,clever,7.36,2.64,5.25,1,6,1391,1.79,,adj,,,
311,satisfied,7.16,,3.95,1,9,791,2.07,,adj,,,
183,attractive,7.19,2.81,4.91,1,10,1256,2.64,,adj,,,
233,expert,6.74,3.26,4.05,1,6,1128,2.85,,noun,,,
272,longevity,6.57,3.43,4.75,1,9,28,1.9,,noun,,,
223,enchantment,6.8,3.2,5.29,1,11,29,1.63,,noun,,,
306,respectful,7.45,,3.32,1,10,97,2.19,,adj,,,
176,ambition,7.28,2.72,4.86,1,8,273,1.74,346.0,noun,,,
234,extraordinary,7.45,2.55,4.22,1,13,771,2.13,,adj,,,
339,virtue,6.7,3.3,4.55,1,6,263,1.62,351.0,noun,,,
266,jolly,7.47,,5.95,1,5,382,2.34,,adj,,,
345,willingness,6.43,3.57,4.25,1,11,68,1.81,,noun,,,
243,generous,7.43,2.57,5.7,1,8,852,2.25,,adj,,,
278,mercy,6.4,3.6,3.67,1,5,1291,1.57,373.0,noun,,,
346,winner,7.86,2.14,6.53,1,6,1592,3.21,,noun,,,
202,comfortable,7.67,,2.38,1,11,2408,2.33,,adj,,,
320,spirited,7.57,2.43,5.21,1,8,62,1.67,,adj,,,
274,lover,8.05,1.95,7.45,1,5,1358,3.68,,noun,,,
185,awesome,7.86,,6.05,1,7,1600,1.83,,adj,,,
216,delight,8.21,1.79,5.02,1,7,288,2.3,459.0,noun,,,
192,capable,7.05,,4.0,1,7,1062,2.21,,adj,,,
271,legend,6.86,3.14,5.13,1,6,875,2.96,,noun,,,
262,importance,6.39,3.61,4.15,1,10,390,1.75,347.0,noun,,,
283,optimist,7.19,2.81,4.43,1,8,78,1.9,,noun,,,
265,intellectual,7.65,2.35,4.53,1,12,234,1.81,,noun,,,
331,trustworthy,7.25,,4.22,1,11,94,2.39,,adj,,,
185,awesome,7.86,,6.05,1,7,1600,1.83,,adj,,,
289,perfect,7.19,2.81,4.71,1,7,8091,1.69,404.0,noun,,,
290,perseverance,6.33,3.67,3.41,1,12,37,1.92,,noun,,,
272,longevity,6.57,3.43,4.75,1,9,28,1.9,,noun,,,
214,creative,7.06,2.94,4.86,1,8,548,1.93,,adj,,,
245,gentle,7.42,2.58,3.17,1,6,844,2.1,,adj,,,
338,vibrant,7.37,2.63,5.96,1,7,52,2.38,,adj,,,
209,confidence,6.71,3.29,4.04,1,10,993,2.17,317.0,noun,,,
208,compensation,6.55,3.45,4.73,1,12,109,3.25,,noun,,,
266,jolly,7.47,,5.95,1,5,382,2.34,,adj,,,
315,smart,7.73,2.27,3.81,1,5,4909,1.75,,adj,,,
255,helpful,7.43,2.57,3.88,1,7,619,1.76,,adj,,,
