,Word,MeanValence,ValenceStand,MeanArousal,type,letters,frequency,Concreteness,Img,pos,Unnamed: 10,Unnamed: 11,Unnamed: 12
78,incompetent,2.77,2.77,4.5,0,11,194,2.03,,adj,,,
134,terrible,2.1,2.1,4.39,0,8,4795,2.04,,adj,,,
17,clingy,3.39,3.39,4.04,0,6,30,2.45,,adj,,,
1,ache,3.27,3.27,4.3,0,4,127,3.43,443.0,noun,,,
31,deterioration,2.89,2.89,5.0,0,13,26,2.38,,noun,,,
139,trash,2.74,2.74,3.66,0,5,1146,4.7,599.0,noun,,,
101,negligent,2.05,2.05,4.45,0,9,51,1.92,,adj,NegFre,,
57,grief,2.33,2.33,4.95,0,8,53,2.7,480.0,noun,,,
119,sad,2.1,,3.49,0,3,3232,3.07,,adj,,,
56,gloom,2.89,,3.9,0,5,59,1.86,,noun,,,
123,selfish,3.3,3.3,4.57,0,7,811,1.92,,adj,,,
88,liar,2.41,,6.6,0,4,1792,3.43,,noun,,,
92,lunatic,3.47,3.47,5.64,0,7,433,3.27,,noun,,,
0,abandonment,2.63,2.63,4.95,0,11,49,2.54,3.48,noun,,,
93,maggot,2.0,2.0,5.6,0,6,81,4.97,,noun,,,
39,disturbance,2.68,2.68,5.19,0,11,201,2.7,,noun,,,
16,captive,3.27,3.27,4.88,0,7,116,3.03,518.0,noun,,,
77,incapable,3.55,3.55,3.9,0,9,173,1.64,,adj,,,
35,disgust,3.32,3.32,5.0,0,7,141,2.19,,noun,,,
128,slimy,3.21,3.21,5.1,0,5,159,3.26,,adj,,,
66,headache,2.22,2.22,4.27,0,8,719,3.9,,noun,,,
41,dull,3.4,3.4,1.67,0,4,616,2.37,,adj,,,
51,fool,3.56,3.56,4.86,0,4,4556,3.19,436.0,noun,,,
96,miserable,2.6,2.6,5.06,0,9,1096,1.97,,adj,,,
146,unfaithful,2.33,,5.59,0,10,120,1.93,,adj,,,
54,frown,3.35,3.35,3.61,0,5,104,4.08,589.0,noun,,,
153,unsuccessful,2.33,,3.36,0,12,44,2.25,,adj,,,
148,unhealthy,2.55,2.55,4.36,0,9,83,2.7,,adj,,,
151,unpleasantness,2.59,2.59,4.36,0,14,29,2.0,425.0,noun,,,
27,deadbeat,2.81,2.81,4.32,0,8,88,2.46,,noun,,,
14,bummer,2.57,2.57,4.32,0,6,212,1.97,,noun,,,
17,clingy,3.39,3.39,4.04,0,6,30,2.45,,adj,,,
139,trash,2.74,2.74,3.66,0,5,1146,4.7,599.0,noun,,,
134,terrible,2.1,2.1,4.39,0,8,4795,2.04,,adj,,,
84,irritating,2.63,,4.91,0,10,111,2.1,,adj,,,
22,creep,2.95,2.95,4.78,0,5,573,3.38,,noun,,,
75,impostor,3.47,3.47,4.6,0,8,101,3.38,,noun,,,
123,selfish,3.3,3.3,4.57,0,7,811,1.92,,adj,,,
98,mousy,3.74,3.74,3.1,0,5,42,2.5,,noun,,,
82,insulting,1.89,,4.7,0,9,274,2.29,,adj,,,
108,pest,2.67,2.67,5.14,0,4,146,3.96,445.0,noun,,,
5,annoying,3.0,3.0,5.55,0,8,567,2.31,,adj,,,
85,jerk,2.43,2.43,6.45,0,4,1690,3.26,479.0,noun,,,
13,boring,2.71,2.71,2.85,0,6,1398,2.07,,adj,,,
165,wimp,3.05,3.05,2.38,0,4,159,2.9,,noun,,,
