,Word,MeanValence,ValenceStand,MeanArousal,type,letters,frequency,Concreteness,Img,pos,Unnamed: 10,Unnamed: 11,Unnamed: 12
79,inconvenience,3.05,3.05,6.26,0,13,226,1.73,,noun,,,
114,quitter,2.95,2.95,5.43,0,7,73,2.54,,noun,,,
112,prick,2.81,2.81,4.26,0,5,720,3.91,,noun,,,
7,atrocity,2.95,2.95,5.0,0,8,32,2.26,404.0,noun,,,
51,fool,3.56,3.56,4.86,0,4,4556,3.19,436.0,noun,,,
31,deterioration,2.89,2.89,5.0,0,13,26,2.38,,noun,,,
49,filth,2.62,2.62,4.09,0,5,231,4.14,517.0,noun,,,
88,liar,2.41,,6.6,0,4,1792,3.43,,noun,,,
93,maggot,2.0,2.0,5.6,0,6,81,4.97,,noun,,,
104,overwhelmed,2.8,2.8,4.9,0,11,201,1.92,,adj,,,
91,lowlife,2.68,2.68,4.29,0,7,105,3.27,,noun,,,
155,unwanted,2.71,2.71,5.1,0,8,70,2.0,,adj,,,
111,pollution,2.0,2.0,5.19,0,9,97,3.75,509.0,noun,PosLet,,
42,dummy,3.66,3.66,3.79,0,5,500,3.96,562.0,noun,,,
76,inadequate,2.57,2.57,4.3,0,10,95,1.96,,adj,,,
146,unfaithful,2.33,,5.59,0,10,120,1.93,,adj,,,
77,incapable,3.55,3.55,3.9,0,9,173,1.64,,adj,,,
103,outcast,2.86,2.86,5.17,0,7,67,2.62,,noun,,,
80,inferior,3.43,3.43,4.55,0,8,156,1.7,,adj,,,
157,unworthy,2.79,2.79,4.24,0,8,97,1.93,,adj,,,
86,lazy,3.05,3.05,3.05,0,4,591,2.67,,adj,,,
117,repulsive,1.95,,5.12,0,9,103,2.11,,adj,,,
146,unfaithful,2.33,,5.59,0,10,120,1.93,,adj,,,
72,idiocy,3.1,3.1,4.16,0,6,29,1.75,,noun,,,
119,sad,2.1,,3.49,0,3,3232,3.07,,adj,,,
62,hardship,2.8,2.8,5.1,0,8,77,1.79,427.0,noun,,,
49,filth,2.62,2.62,4.09,0,5,231,4.14,517.0,noun,,,
96,miserable,2.6,2.6,5.06,0,9,1096,1.97,,adj,,,
25,crybaby,2.95,2.95,5.05,0,7,67,3.29,,noun,,,
9,awkwardness,3.86,3.86,4.65,0,11,32,2.34,,noun,,,
140,turnoff,2.85,2.85,4.26,0,7,36,2.36,,noun,,,
129,slob,2.48,2.48,4.7,0,4,182,3.22,,noun,,,
16,captive,3.27,3.27,4.88,0,7,116,3.03,518.0,noun,,,
18,comatose,2.0,2.0,3.15,0,8,50,3.62,,noun,PosAro,0.343755707,
138,traitor,2.39,,4.27,0,7,540,3.96,,noun,,,
79,inconvenience,3.05,3.05,6.26,0,13,226,1.73,,noun,,,
41,dull,3.4,3.4,1.67,0,4,616,2.37,,adj,,,
117,repulsive,1.95,,5.12,0,9,103,2.11,,adj,,,
80,inferior,3.43,3.43,4.55,0,8,156,1.7,,adj,,,
11,bastard,3.31,3.31,5.1,0,7,3348,3.14,,noun,,,
60,grumpy,2.81,2.81,5.05,0,6,120,2.41,,adj,,,
160,vermin,2.41,2.41,5.22,0,6,121,4.48,,noun,,,
35,disgust,3.32,3.32,5.0,0,7,141,2.19,,noun,,,
111,pollution,2.0,2.0,5.19,0,9,97,3.75,509.0,noun,PosLet,,
36,disgusting,2.27,,6.15,0,10,1357,2.21,,adj,,,
88,liar,2.41,,6.6,0,4,1792,3.43,,noun,,,
47,failure,2.15,2.15,5.0,0,7,1021,2.08,437.0,noun,,,
155,unwanted,2.71,2.71,5.1,0,8,70,2.0,,adj,,,
105,pain,2.0,2.0,6.27,0,4,4995,3.5,502.0,noun,NegLet,,
50,foe,3.15,3.15,4.72,0,3,94,2.96,435.0,noun,,,
6,anxiety,2.38,2.38,4.78,0,7,345,2.21,,noun,,,
102,nutcase,2.81,2.81,3.76,0,7,67,2.93,,noun,,,
95,mess,3.5,3.5,4.7,0,4,3985,3.9,,noun,,,
35,disgust,3.32,3.32,5.0,0,7,141,2.19,,noun,,,
50,foe,3.15,3.15,4.72,0,3,94,2.96,435.0,noun,,,
29,degenerate,2.7,2.7,4.68,0,10,93,2.04,,noun,,,
124,sham,3.45,3.45,3.14,0,4,77,3.07,,noun,,,
36,disgusting,2.27,,6.15,0,10,1357,2.21,,adj,,,
64,hate,1.96,1.96,6.26,0,4,10944,1.97,462.0,noun,NegAro,,
43,embarrassed,3.51,3.51,5.38,0,11,1093,2.0,,adj,,,
99,nauseous,1.95,1.95,4.18,0,8,158,2.41,,adj,,,
88,liar,2.41,,6.6,0,4,1792,3.43,,noun,,,
49,filth,2.62,2.62,4.09,0,5,231,4.14,517.0,noun,,,
41,dull,3.4,3.4,1.67,0,4,616,2.37,,adj,,,
12,bitterness,3.15,3.15,5.1,0,10,72,2.36,378.0,noun,,,
122,scumbag,2.48,2.48,5.1,0,7,281,3.76,,noun,,,
29,degenerate,2.7,2.7,4.68,0,10,93,2.04,,noun,,,
160,vermin,2.41,2.41,5.22,0,6,121,4.48,,noun,,,
56,gloom,2.89,,3.9,0,5,59,1.86,,noun,,,
134,terrible,2.1,2.1,4.39,0,8,4795,2.04,,adj,,,
9,awkwardness,3.86,3.86,4.65,0,11,32,2.34,,noun,,,
63,harm,1.91,1.91,5.9,0,4,1621,2.62,362.0,noun,PosVal,2.9268354430000003,
82,insulting,1.89,,4.7,0,9,274,2.29,,adj,,,
158,useless,2.8,2.8,4.39,0,7,1017,1.78,,adj,,,
41,dull,3.4,3.4,1.67,0,4,616,2.37,,adj,,,
122,scumbag,2.48,2.48,5.1,0,7,281,3.76,,noun,,,
