,Word,MeanValence,ValenceStand,MeanArousal,val,letters,frequency,Concreteness,Img,pos,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,abandonment,2.63,2.63,4.95,0,11,49,2.54,3.48,noun,,,
1,ache,3.27,3.27,4.3,0,4,127,3.43,443,noun,,,
2,alone,3.85,3.85,4,0,5,15735,2.86,480,noun,,,
3,angst,3.5,3.5,5.76,0,5,47,1.96,,adj,,,
4,annoyance,2.95,2.95,4.1,0,9,25,2.14,,noun,,,
5,annoying,3,3,5.55,0,8,567,2.31,,adj,,,
6,anxiety,2.38,2.38,4.78,0,7,345,2.21,,noun,,,
7,atrocity,2.95,2.95,5,0,8,32,2.26,404,noun,,,
8,awkward,2.95,,4.55,0,7,730,2,,noun,,,
9,awkwardness,3.86,3.86,4.65,0,11,32,2.34,,noun,,,
10,badness,3.55,3.55,4.38,0,7,29,2.26,,noun,,,
11,bastard,3.31,3.31,5.1,0,7,3348,3.14,,noun,,,
12,bitterness,3.15,3.15,5.1,0,10,72,2.36,378,noun,,,
13,boring,2.71,2.71,2.85,0,6,1398,2.07,,adj,,,
14,bummer,2.57,2.57,4.32,0,6,212,1.97,,noun,,,
15,burden,3.05,3.05,3.96,0,6,501,2.63,499,noun,,,
16,captive,3.27,3.27,4.88,0,7,116,3.03,518,noun,,,
17,clingy,3.39,3.39,4.04,0,6,30,2.45,,adj,,,
18,comatose,2,2,3.15,0,8,50,3.62,,noun,PosAro,0.343755707,
19,contamination,3.11,3.11,6.71,0,13,60,2.7,456,noun,,,
20,copycat,3.33,3.33,4.62,0,7,44,3.65,,noun,,,
21,coward,2.42,2.42,4.09,0,6,734,2.93,,noun,,,
22,creep,2.95,2.95,4.78,0,5,573,3.38,,noun,,,
23,crisis,2.05,2.05,6.25,0,6,849,2.33,375,noun,PosFre,,
24,criticism,3.84,3.84,5.95,0,9,155,2.07,333,noun,,,
25,crybaby,2.95,2.95,5.05,0,7,67,3.29,,noun,,,
26,cynic,3.45,3.45,4.68,0,5,56,2.64,377,noun,,,
27,deadbeat,2.81,2.81,4.32,0,8,88,2.46,,noun,,,
28,defect,2.89,2.89,4.14,0,6,126,2.48,,noun,,,
29,degenerate,2.7,2.7,4.68,0,10,93,2.04,,noun,,,
30,destroyer,2.16,2.16,6.09,0,9,185,3.59,508,noun,,,
31,deterioration,2.89,2.89,5,0,13,26,2.38,,noun,,,
32,disappointment,2.79,2.79,4.9,0,14,277,1.93,,noun,,,
33,disaster,1.71,1.71,6.35,0,8,881,3.07,,noun,,,
34,disgrace,2.45,2.45,4.28,0,8,409,2.11,386,noun,,,
35,disgust,3.32,3.32,5,0,7,141,2.19,,noun,,,
36,disgusting,2.27,,6.15,0,10,1357,2.21,,adj,,,
37,disloyalty,2.57,2.57,5.77,0,10,23,1.5,,noun,,,
38,distress,3.25,3.25,4,0,8,371,2.66,443,noun,,,
39,disturbance,2.68,2.68,5.19,0,11,201,2.7,,noun,,,
40,dropout,3.33,3.33,4.7,0,7,43,3.52,,noun,,,
41,dull,3.4,3.4,1.67,0,4,616,2.37,,adj,,,
42,dummy,3.66,3.66,3.79,0,5,500,3.96,562,noun,,,
43,embarrassed,3.51,3.51,5.38,0,11,1093,2,,adj,,,
44,embarrassment,2.72,2.72,5.45,0,13,247,2.43,,noun,,,
45,emptiness,3.26,3.26,3.18,0,9,92,2.32,,noun,,,
46,error,3.36,3.36,4.43,0,5,473,2.68,408,noun,,,
47,failure,2.15,2.15,5,0,7,1021,2.08,437,noun,,,
48,faker,2.76,2.76,3.96,0,5,88,2.89,,noun,,,
49,filth,2.62,2.62,4.09,0,5,231,4.14,517,noun,,,
50,foe,3.15,3.15,4.72,0,3,94,2.96,435,noun,,,
51,fool,3.56,3.56,4.86,0,4,4556,3.19,436,noun,,,
52,fraud,2.05,2.05,5.18,0,5,512,1.68,381,noun,,,
53,friendless,3.15,3.15,4.18,0,10,24,2.3,,adj,,,
54,frown,3.35,3.35,3.61,0,5,104,4.08,589,noun,,,
55,garbage,2.88,2.88,3.84,0,7,1331,4.69,596,noun,,,
56,gloom,2.89,,3.9,0,5,59,1.86,,noun,,,
57,grief,2.33,2.33,4.95,0,8,53,2.7,480,noun,,,
58,grievance,3.14,3.14,3.92,0,5,552,2.19,340,noun,,,
59,gross,3.2,3.2,5,0,5,779,2.96,,adj,,,
