record_id,redcap_survey_identifier,imagability_timestamp,agree,error,creator,helper,jerk,maggot,hugger,phony,extraordinary,zest,kinship,undesirable,humorous,athlete,confidence,fool,terrified,lover,favor,leper,carefree,disgusting,dropout,annoyance,wimp,affectionate,pedigree,irritating,spirited,captive,grief,lowlife,excellent,sweetheart,significance,embarrassed,philanthropist,excited,enchantment,useless,atrocity,insecure,bummer,charitable,companionship,sympathy,unemployment,impostor,scum,unemployed,clingy,fun,regret,graceful,accomplishment,ache,spontaneity,trash,honest,newlywed,excellence,productive,clever,scumbag,lazy,boring,copycat,frown,wacko,genius,unique,alone,consideration,unsuccessful,inadequate,hostess,immoral,unreliable,hate,problem,criticism,hater,longevity,crisis,buff,hopeful,distress,innocence,contamination,incapable,disgust,kisser,repulsive,radiant,prick,woe,asset,destroyer,grumpy,openness,gentle,crybaby,respect,hag,seeker,funny,traveler,disturbance,vibrant,amusement,uninvited,brain,disloyalty,fraud,enthusiastic,deadbeat,compensation,victim,champion,idiocy,hardship,gross,commitment,giggle,hypocrisy,charm,stress,garbage,unwelcome,unworthy,goodwill,degenerate,blessing,friendless,closeness,terrible,satisfied,sham,deterioration,filth,willingness,appeal,overwhelmed,peril,disappointment,failure,enthusiasm,ambition,comfortable,incompetent,romantic,relaxed,awkwardness,wellness,unity,sinner,sloppy,unfaithful,gloom,insulting,admired,sad,valedictorian,awkward,skilled,trustworthy,benevolence,worthless,pollution,wealth,awesome,fondness,selfish,lucky,dependable,sportsmanship,tolerance,quitter,adventure,slimy,saint,heartbroken,embarrassment,vagrant,generous,merit,abandonment,useful,badness,outcast,rapport,value,pizzazz,inconvenience,delighted,unpleasantness,rude,disaster,positive,pleasure,proficiency,slob,progress,safety,healer,academic,reject,thoughtful,easygoing,grateful,unlucky,comforting,prize,energetic,dynamo,pay,disgrace,grievance,dreamer,champ,tense,parasite,headache,comatose,heir,wise,menace,hesitation,sleaze,intellectual,mess,defect,mousy,attractive,friend,enjoyable,joy,toxin,helpful,scoundrel,turnoff,dull,perfect,jolly,sophistication,optimist,warmth,success,cynic,harm,thinker,peaceful,nauseous,shame,bitterness,hypocrite,confident,irresponsible,unforgivable,wannabe,achievement,perseverance,lunatic,coward,delight,healthy,pest,art,pain,witty,capable,dummy,hopeless,loser,annoying,creep,companion,awareness,bravery,favorite,legend,courtesy,stinky,unhealthy,virtue,bastard,contentment,respectful,lovable,nutcase,foe,traitor,mentor,winner,adventurer,burden,happy,devoted,spectacular,compatibility,pity,nourishment,idiot,angst,untrustworthy,mercy,loner,friendly,creative,passion,emptiness,partner,visionary,cleverness,smart,entertainer,smiley,anxiety,charming,precision,allure,mistake,pleased,importance,esteem,liar,talented,insight,expert,volunteer,unbearable,blissful,unwanted,negligent,special,safe,learner,faker,idealist,inferior,upbeat,recognition,vermin,waste,miserable,age,race___1,race___2,race___3,race___4,race___5,ethnicity,maritalstat,edu,yearsedu,occ,degree___1,degree___2,degree___3,degree___4,degree___5,degree___6,degree___7,degree___8,degree___9,degree___10,income,disp_id,imagability_complete
1,,1/10/17 11:22,1,4,3,5,6,7,5,3,2,1,2,5,5,7,3,5,7,7,4,6,3,4,3,3,4,5,2,5,3,4,4,6,2,3,1,5,1,6,1,2,7,2,3,5,6,6,3,3,3,3,3,6,2,4,5,6,2,7,3,7,2,4,4,5,6,5,4,7,3,5,3,6,2,4,3,5,2,3,4,5,3,3,1,3,5,2,4,5,5,1,4,5,3,2,1,1,4,4,5,1,3,4,2,1,1,4,4,1,5,3,2,7,1,2,4,2,1,5,5,2,2,2,3,5,1,2,4,7,1,1,2,1,1,4,2,1,3,1,4,3,3,1,2,2,2,4,3,1,4,1,5,5,4,1,3,2,4,4,1,2,4,7,2,4,4,1,1,2,4,6,1,2,3,6,2,6,4,4,3,7,3,5,5,3,5,1,3,5,1,5,1,1,1,4,2,2,4,5,3,5,5,4,2,5,4,5,2,2,2,3,6,5,4,3,7,7,2,1,2,5,2,7,5,3,2,2,2,3,2,4,6,4,3,6,5,3,2,2,4,5,2,4,1,2,3,2,5,5,2,4,5,3,5,3,3,2,4,2,2,3,4,4,5,5,2,4,5,7,6,3,3,6,2,2,4,2,5,2,3,2,1,3,6,5,1,1,4,3,1,3,3,2,3,3,3,2,4,2,1,1,3,3,2,1,2,4,5,3,5,3,4,3,1,1,3,5,7,3,1,4,2,5,2,2,2,2,5,1,2,3,1,1,5,4,1,7,4,2,1,1,1,3,7,7,2,29,0,0,0,0,1,0,1,6,3,self-employed,0,1,0,0,0,0,0,0,0,0,4,201,2
2,,1/10/17 11:29,1,4,5,3,4,6,6,3,3,3,5,3,5,6,4,5,6,6,4,4,4,5,3,4,3,6,5,4,5,6,5,4,4,7,5,6,4,6,6,3,3,4,4,5,6,4,5,5,5,5,5,6,3,4,5,7,4,7,5,6,4,6,4,5,7,6,4,7,6,6,5,6,4,4,5,6,5,5,6,5,4,4,5,6,7,5,6,6,7,5,6,7,6,5,5,3,5,6,6,5,6,7,4,6,2,7,6,6,6,6,4,7,4,4,5,6,6,5,7,5,5,7,4,6,4,5,5,7,3,4,5,5,5,6,6,5,6,5,6,7,4,4,5,5,6,6,6,4,6,5,6,6,6,3,4,5,6,4,5,4,4,7,7,6,5,4,2,5,6,6,5,5,3,6,5,6,3,5,6,7,7,5,5,2,5,2,5,6,5,6,4,5,6,4,5,4,6,6,5,6,4,6,5,6,6,4,4,5,5,5,3,6,7,6,3,7,4,5,6,6,5,7,6,5,5,6,5,4,5,4,7,5,2,6,5,5,6,6,5,5,3,5,3,5,5,5,6,6,3,6,6,6,6,4,4,4,5,5,3,5,6,5,6,5,6,6,7,7,6,3,5,5,4,5,4,5,6,5,5,4,6,4,6,5,5,4,5,3,5,5,5,5,5,6,6,4,6,4,6,5,5,6,5,3,4,5,6,6,6,4,5,7,4,3,5,6,7,5,5,5,4,4,5,4,3,5,5,4,5,3,3,6,5,4,4,5,3,5,3,4,5,5,7,6,6,23,0,0,0,0,1,0,2,7,12,construction,0,0,0,1,0,0,0,0,0,0,3,202,2
3,,1/10/17 11:53,1,3,2,2,5,6,4,3,3,4,3,2,3,6,3,6,3,5,4,5,2,5,4,4,4,3,2,3,3,3,3,4,2,5,2,5,4,4,4,5,3,6,5,3,4,3,3,4,4,5,3,4,4,4,5,5,4,4,4,3,5,4,3,6,5,6,4,5,5,4,4,4,2,4,4,5,4,3,5,2,2,6,2,4,6,4,5,5,3,3,4,6,3,6,5,3,3,6,6,4,4,5,3,6,2,5,6,4,3,3,2,2,4,4,2,5,5,5,5,3,2,6,4,5,5,5,4,6,2,2,4,4,5,5,4,5,4,3,4,6,4,4,3,5,6,5,4,5,5,4,5,6,3,3,4,6,3,3,5,5,5,4,3,5,4,5,5,4,6,6,4,3,4,3,2,4,4,5,5,6,5,5,5,4,5,5,4,5,3,4,3,3,2,2,3,4,5,6,5,5,5,4,4,5,2,5,5,3,3,5,3,4,5,5,1,4,4,4,5,5,4,3,5,5,3,5,4,5,4,5,6,5,5,6,5,4,4,3,4,4,4,3,3,5,5,4,4,5,4,4,5,4,5,3,2,2,5,3,3,4,6,5,4,3,4,4,5,6,5,4,5,4,4,3,4,2,3,3,4,3,5,4,5,5,4,4,3,3,4,5,5,4,4,4,3,3,4,4,3,2,5,3,5,6,4,5,5,4,4,3,4,3,3,3,4,5,7,4,4,4,2,3,3,4,4,4,5,5,4,3,3,4,4,2,3,5,5,4,3,3,3,2,6,6,5,27,0,0,0,0,1,0,1,7,16,Programmer,0,0,0,1,0,0,0,0,0,0,1,203,2
4,,1/10/17 13:42,1,3,3,5,4,6,4,3,1,4,5,2,4,6,2,5,4,5,2,6,3,5,4,2,3,5,6,2,2,5,4,2,1,4,3,4,5,2,3,1,3,2,2,3,5,3,6,4,5,6,5,2,3,2,4,4,3,5,2,5,2,3,2,5,4,3,4,5,2,3,2,5,3,2,3,5,2,2,3,3,3,4,3,2,2,2,2,2,5,1,2,3,3,1,3,2,4,3,2,2,2,4,2,5,3,2,4,3,2,2,4,5,2,3,2,4,4,3,3,2,2,2,4,5,3,2,2,5,2,3,2,4,1,1,1,2,3,3,2,5,3,2,3,2,3,3,3,2,2,3,2,2,4,2,4,2,3,3,2,2,2,2,5,3,2,2,2,2,5,5,1,2,2,1,2,4,2,3,3,4,2,3,2,4,2,3,3,2,2,4,3,2,3,2,2,3,2,4,2,2,3,4,2,2,3,2,3,2,2,2,1,2,4,2,3,5,2,3,2,2,2,5,2,2,4,2,2,2,4,1,4,2,3,2,3,2,2,4,2,4,2,2,2,2,2,2,3,2,3,3,2,3,4,2,2,4,2,2,3,2,2,2,3,3,2,2,2,5,4,3,2,3,2,3,2,5,4,3,2,1,3,2,3,3,1,4,3,2,2,3,3,4,4,3,5,4,2,3,1,1,2,4,4,3,2,2,4,2,2,1,3,4,4,2,2,5,4,2,3,5,2,3,3,2,3,2,3,3,5,6,3,6,5,4,4,3,2,5,5,4,2,3,6,5,4,25,0,0,0,0,1,0,1,7,16,Office Manager,0,0,0,1,0,0,0,0,0,1,4,204,2
5,,[not completed],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,205,0
6,,1/10/17 13:20,1,5,5,4,4,4,5,5,3,5,5,5,4,4,5,5,4,5,4,4,5,5,3,4,4,3,3,5,4,5,5,5,4,5,5,4,4,3,3,4,5,5,4,3,3,4,5,5,4,4,4,5,4,3,5,5,4,5,5,5,5,5,4,4,5,5,3,3,6,5,4,4,4,5,5,5,5,5,4,6,5,5,4,4,4,4,3,3,3,4,5,4,4,3,5,5,5,4,4,5,5,5,6,5,5,4,4,5,5,4,4,5,4,5,4,3,4,4,3,5,5,4,6,6,5,4,5,5,5,3,5,4,5,5,5,5,5,4,4,3,5,4,5,5,4,5,4,5,4,5,4,4,4,4,2,4,2,3,5,5,5,6,6,4,3,5,3,4,5,3,5,4,5,5,5,4,3,3,4,3,3,5,5,4,5,4,4,4,6,5,4,5,4,4,5,4,5,5,4,5,4,4,5,5,4,5,4,5,4,4,5,4,3,3,5,4,5,4,5,5,5,4,4,5,4,3,3,5,5,5,5,4,3,3,3,4,5,4,3,5,5,5,5,5,5,4,5,5,3,5,3,3,5,4,4,5,5,4,3,3,5,5,5,4,5,4,5,5,4,5,5,4,5,5,6,5,4,4,4,5,4,5,5,5,4,4,4,5,5,5,3,3,2,2,2,4,4,5,4,4,5,5,5,4,5,4,5,4,5,5,5,3,5,4,4,5,5,4,5,5,4,5,5,4,5,5,5,4,4,5,4,5,3,3,5,3,4,4,5,4,4,4,3,5,4,22,0,0,0,0,1,0,1,7,16,student,0,0,1,0,0,0,0,0,0,0,3,206,2
7,,[not completed],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,207,0
8,,1/10/17 13:19,1,2,4,3,5,7,3,4,2,2,2,3,4,5,2,3,4,3,2,5,3,5,2,3,3,4,2,2,3,3,4,5,2,5,2,5,2,4,5,2,5,2,2,3,3,4,3,5,6,3,4,3,2,5,2,2,2,7,2,6,2,2,2,5,3,3,4,7,6,3,4,6,2,2,2,6,3,2,4,2,2,5,2,4,3,2,4,6,6,3,4,4,4,5,5,3,2,5,6,2,5,5,2,6,2,3,6,4,3,4,2,7,2,3,5,3,2,7,5,3,4,6,2,7,2,4,3,7,2,2,3,4,2,4,4,3,4,2,6,7,2,2,4,3,4,2,4,2,5,3,5,6,5,2,3,2,5,4,6,2,4,6,3,4,2,2,2,2,7,5,2,3,3,2,2,6,3,3,4,7,5,2,6,5,3,2,2,2,2,3,3,2,4,2,5,3,6,7,2,3,2,6,2,2,5,5,3,4,5,4,2,4,7,6,2,6,2,3,4,5,6,7,6,7,3,2,5,6,6,3,7,2,3,6,3,4,4,3,3,5,2,2,2,5,4,3,3,2,4,4,3,4,6,4,5,2,4,2,2,4,2,2,6,5,4,3,7,7,6,4,4,6,3,5,5,6,5,3,4,2,3,5,3,6,2,7,4,5,3,6,4,4,3,6,7,3,7,3,3,3,4,4,6,3,2,3,4,4,3,3,5,6,3,3,3,7,7,4,4,3,3,2,5,2,2,3,4,2,2,2,4,4,2,2,2,2,3,2,2,2,4,3,7,7,4,36,0,0,0,0,1,0,1,7,16,Sales,0,0,1,1,0,0,0,0,0,0,4,208,2
9,,1/10/17 13:22,1,2,4,6,7,7,6,1,3,5,5,2,2,7,5,6,6,5,1,7,5,6,3,4,6,6,4,2,2,5,6,7,3,5,1,7,5,6,2,1,3,2,1,2,6,3,4,3,4,3,5,3,5,7,3,1,1,7,1,5,2,2,3,4,5,3,4,7,3,5,2,6,1,2,1,7,1,1,2,1,2,3,5,6,7,5,5,3,6,1,5,5,6,7,7,5,1,5,6,1,4,5,5,7,2,1,6,5,6,3,2,7,1,1,5,4,5,4,7,2,5,7,1,7,1,5,5,7,1,1,1,3,2,3,3,5,5,1,7,7,5,2,5,5,6,6,5,5,6,2,6,6,6,4,5,3,6,1,5,2,5,7,7,6,3,1,1,1,7,7,4,2,4,3,3,6,6,2,6,7,7,6,7,6,5,3,5,1,1,6,5,2,2,2,6,3,5,7,4,5,2,7,2,2,7,7,4,5,5,4,1,5,7,6,5,7,3,2,5,7,5,7,7,7,5,6,5,6,6,6,7,3,7,6,7,3,5,4,3,5,2,3,3,6,7,5,6,6,4,3,5,7,6,6,4,1,6,2,1,2,3,4,3,2,5,5,6,7,6,3,2,3,2,5,4,6,7,2,5,1,5,5,7,7,1,7,6,3,3,3,2,2,5,7,5,1,7,5,5,2,5,6,4,5,2,1,5,6,3,2,6,7,2,1,4,7,7,5,6,1,5,1,6,1,2,1,1,1,2,5,1,2,1,1,1,2,2,1,1,2,5,1,7,7,6,28,0,0,0,0,1,0,2,7,16,Unemployed,0,0,1,0,0,0,0,0,0,0,4,209,2
10,,1/10/17 13:14,1,1,7,7,7,7,4,4,1,7,4,1,7,7,7,7,7,7,7,1,7,7,7,4,7,7,1,7,7,7,7,7,7,7,1,7,7,7,4,1,7,1,1,4,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,1,7,7,7,7,1,7,4,1,1,7,1,1,7,1,7,7,1,4,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,1,7,7,4,7,7,7,7,7,7,7,1,7,1,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,7,7,4,7,7,7,1,4,7,4,7,7,7,7,7,7,7,7,7,7,7,4,7,1,4,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,1,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,4,7,7,7,7,1,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,1,7,7,7,1,7,7,1,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,29,0,1,0,0,0,0,2,4,13,cna,0,0,0,0,0,0,0,0,0,1,2,210,2
