Document,turnoff,pest,loser,captive,worthless,cynic,traitor,distress,jerk,selfish,bastard,disappointment,insulting,unwanted,gloom,filth,dull,lazy,failure,untrustworthy,stress,prick,terrible,pollution,alone,inadequate,regret,bitterness,mess,irritating,garbage,annoying,irresponsible,stinky,unwelcome,phony,degenerate,heartbroken,reject,hesitation,sad,insecure,awkward,hypocrite,shame,anxiety,disaster,dropout,disgrace,scoundrel,grumpy,hardship,sloppy,creep,defect,slimy,embarrassed,overwhelmed,fraud,vermin,unforgivable,quitter,undesirable,burden,repulsive,slob,uninvited,menace,unemployed,maggot,liar,terrified,vagrant,incapable,emptiness,disgusting,outcast,gross,negligent,nauseous,parasite,hater,unfaithful,incompetent,unbearable,boring,inferior,rude,headache,copycat,tense,unlucky,idiot,fool,lunatic,miserable,pity,coward,immoral,dummy
turnoff,1,0.03,0.05,0.02,0.07,0.03,-0.01,0.1,0.18,-0.06,0.1,0.07,0.05,0.05,0.16,0.01,0.14,0.08,-0.04,-0.06,0.04,0.06,0.04,0,0.05,0.03,0.11,0.01,0.09,0.05,0.02,0.03,0.01,0.06,0.1,0.15,-0.02,0.07,0.02,0.08,-0.01,0.01,0.07,0.01,0.06,0.1,0.07,-0.03,0.03,0.07,-0.03,0.02,-0.02,0.04,-0.03,0.06,0.02,0.19,0,-0.1,0.03,0.07,-0.02,0.01,-0.05,0.07,0.01,0,0.03,0,0.07,0.12,0.05,-0.02,0.11,0.03,0.11,0.06,0.12,0,-0.03,-0.09,0.17,-0.05,0.17,-0.02,0.04,0.03,0.03,-0.02,0.01,-0.03,0.15,0.13,0.01,0.06,0.1,0.01,-0.04,0.05
pest,0.03,1,0.01,0.02,0.12,0.03,-0.03,0.02,0.05,0.09,0,0.04,0.02,0.14,0,-0.01,0,0.02,0.05,-0.04,0.03,0.01,0.13,0.11,0.05,0.03,0.06,0.01,0.07,0.04,0.15,0.18,0.06,0,0.01,-0.01,0.06,0.04,-0.02,0,0.03,0.03,0,0.02,0.02,0,0.1,0.04,0.09,0.04,0.18,0.02,0.04,0.01,0.05,-0.02,0.08,0.06,0.08,0.06,0.03,0.01,0.18,0.02,0.02,0.02,0.05,0.12,0.02,0.04,0.11,0.03,0,0.01,-0.02,0.17,0.01,0.02,0.09,-0.01,0.24,0.05,-0.04,0.02,0.04,0.2,-0.01,0.09,0.06,0.43,0.02,0.05,0.06,0.02,-0.01,0.06,-0.06,-0.01,0.03,0
loser,0.05,0.01,1,0.05,0.08,0.04,0.06,0.14,-0.02,0.14,0.16,0.2,0.09,0.05,0.04,0.17,0.04,0.1,0.26,-0.05,0.13,0.05,0.14,-0.01,0.17,0.15,0.11,0.04,0.1,0.08,-0.01,0.19,0.2,0.06,0.08,0.07,0.18,0.04,0.15,0.06,0.11,0.25,0.25,0.1,0.18,0.19,0.1,0.2,0.12,0.1,0,-0.02,0.15,0.09,0.09,0.03,0.08,0.21,0.13,-0.03,0,0.06,0.06,0.12,0.09,0.03,0.05,0.08,0.02,-0.06,0.11,0.1,0.07,0.24,0.06,0.1,0.08,0.11,0,0.09,0.08,0.12,0.04,0.28,0.06,0.11,0.16,0.04,0.11,0,0.04,0.14,0.12,0.18,0.05,0.12,0.13,0.16,0.1,0.08
captive,0.02,0.02,0.05,1,0.14,0.13,0.14,0.24,0.17,0.26,0.15,0.27,0.23,0.08,0.32,0.29,0.22,0.22,0.23,0.06,-0.01,0.19,0.35,0.08,0.32,0.15,0.31,0.31,0.05,0.12,0.08,0.06,0.18,0.05,0.13,0.09,0.12,0.1,0.11,0.35,0.12,0.14,0.21,0.09,0.29,0.05,0.3,0.05,0.25,0.35,0.02,0.29,0.04,0.12,0.02,0.07,0.15,0.21,0.08,0.3,0.11,0.08,0.03,0.29,0.03,0.07,0.11,0.31,0.08,0.05,0.15,0.4,0.16,0.2,0.31,0.09,0.29,0.06,0.07,0.04,0.05,0.04,0.02,0.08,0.3,0.08,0.12,0.2,0.03,-0.03,0.06,0.16,0.28,0.24,0.29,0.26,0.3,0.32,0.1,0.09
worthless,0.07,0.12,0.08,0.14,1,0.1,0.19,0.13,0.15,0.22,0.12,0.17,0.24,0.19,0.22,0.16,0.11,0.17,0.19,0.05,0.04,0.1,0.24,0.1,0.19,0.19,0.27,0.2,0.06,0.02,0.12,0.07,0.27,0.01,0.11,0.1,0.13,0.08,0.17,0.24,0.14,0.13,0.09,-0.02,0.25,0.1,0.24,-0.02,0.26,0.21,0.11,0.07,-0.03,0.12,0.13,0.05,0.2,0.17,0.22,0.14,0.18,0.13,0.12,0.16,0,0.04,0.05,0.22,0.01,0.11,0.06,0.07,0.16,0.16,0.12,0.16,0.04,0.05,0.01,0.1,0.01,-0.02,0.08,0.17,0.08,0.1,0.17,0.13,0.08,0.02,0.04,0.15,0.15,0.19,0.13,0.16,0.26,0.12,0.09,0.13
cynic,0.03,0.03,0.04,0.13,0.1,1,0.21,0.18,0.15,0.09,0.22,0.17,0.25,-0.02,0.15,-0.04,0.09,0.09,0.03,0.25,0.08,0.19,0.19,-0.02,0.13,0.03,0.32,0.23,-0.01,-0.01,-0.02,0.12,0.02,0.13,0,-0.05,0.05,0.03,0.01,0.13,0.13,0.02,0.02,0.13,0.29,0.01,0.05,0.07,0.15,0.19,0.03,0.03,-0.05,0.07,0.07,-0.09,0.13,0.14,0,0.05,0.01,0.12,-0.04,0.1,0.05,0.02,0.01,0.02,0,0.03,0.06,0.11,0.08,0,0.06,0.08,0.06,0.03,0.05,0.02,0.03,0.1,-0.02,0.04,0.15,0.02,0.05,0.16,0.07,-0.02,0.05,0.21,0.12,0.29,0.25,0.15,0.32,0.21,0.09,-0.04
traitor,-0.01,-0.03,0.06,0.14,0.19,0.21,1,0.27,0.11,0.17,0.19,0.23,0.14,0.1,0.12,0.14,0.17,0.16,0.09,0.17,0.07,0.18,0.28,0.01,0.2,0.11,0.25,0.25,0.16,0.1,-0.03,0.15,0.16,0.01,0.13,0.07,0.1,0.13,0.05,0.26,0.16,0.07,0.18,0.17,0.26,0.07,0.21,-0.03,0.37,0.14,0.07,0.11,0.12,0.08,0,0.07,0.17,0.14,0.07,0.14,0.14,0.08,0.02,0.21,0.04,0.05,-0.09,0.27,0.1,0.01,0.09,0.22,0.11,0.12,0.04,0.24,0.08,0.08,0.08,0.09,0.05,0.17,0.12,0.16,0.21,0.07,0.05,0.26,0.06,0.03,0.17,0.2,0.15,0.35,0.18,0.21,0.26,0.2,0.13,-0.01
distress,0.1,0.02,0.14,0.24,0.13,0.18,0.27,1,0.18,0.26,0.12,0.4,0.17,0.11,0.39,0.18,0.21,0.18,0.37,0.08,0.38,0.14,0.31,0.01,0.33,0.32,0.31,0.32,0.14,0.14,-0.02,0.26,0.27,0.07,0.09,0.22,0.08,0.06,0.21,0.33,0.19,0.36,0.22,0.22,0.4,0.57,0.31,0.08,0.32,0.26,0.03,0.27,0.13,0.1,0.2,0.08,0.21,0.44,0.09,0.23,0.07,0,0.22,0.31,0.06,0.04,0.03,0.32,0.24,-0.02,0.08,0.36,0.2,0.29,0.14,0.1,0.14,0.06,0.04,0.15,0.07,0.09,0.26,0.17,0.28,0.11,0.16,0.26,0.28,0.02,0.12,0.27,0.28,0.27,0.23,0.41,0.44,0.24,0.14,0.13
jerk,0.18,0.05,-0.02,0.17,0.15,0.15,0.11,0.18,1,0.04,0.23,0.2,0.19,0.03,0.25,0.09,0.27,0.22,0.15,0.07,0.11,0.24,0.22,-0.04,0.21,0.06,0.23,0.12,0.2,0.08,0.08,0.13,0.12,0.08,0.02,0.18,0.02,0.09,0.03,0.2,0.15,0.05,0.25,0.08,0.28,0.11,0.12,-0.02,0.21,0.13,0.1,0.05,-0.03,0.21,0.07,0.18,0.26,0.1,0.05,0.1,0.1,0.05,0.12,0.13,0.06,-0.02,0.07,0.1,0.04,0.06,0.18,0.24,0.04,0.09,0.18,0.2,0.16,0.01,0.21,0.05,0.02,0.06,0.11,-0.01,0.16,0.13,0.08,0.23,0.07,0.04,0.16,0.13,0.29,0.27,0.18,0.25,0.28,0.22,0.05,0.13
selfish,-0.06,0.09,0.14,0.26,0.22,0.09,0.17,0.26,0.04,1,0.12,0.27,0.2,0.12,0.17,0.22,0.21,0.21,0.22,0.15,0.09,0.12,0.31,0.01,0.35,0.19,0.36,0.19,0.07,0.09,0.01,0.15,0.24,-0.01,0.12,0.11,0.13,0.02,0.2,0.22,0.3,0.29,0.18,0.08,0.37,0.29,0.15,0.04,0.28,0.21,0.1,0.12,0.1,0.03,0.04,0.06,0.25,0.21,0.09,0.17,0.06,0.08,0.09,0.21,0.05,0.18,0.08,0.17,0.05,-0.01,0.1,0.17,0.05,0.42,0.11,0.14,0.12,0.03,0.02,0.06,0.03,0.05,0.1,0.22,0.17,0.11,0.2,0.27,0.1,0.04,0.05,0.23,0.22,0.24,0.15,0.44,0.35,0.16,0.29,0.1
