Document,entertainer,achievement,mentor,unity,smiley,merit,seeker,esteem,wealth,proficiency,bravery,lovable,dynamo,thinker,special,charm,carefree,charitable,witty,traveler,enthusiastic,ambition,partner,sportsmanship,safe,excited,cleverness,champ,sophistication,smart,friend,romantic,heir,spirited,idealist,volunteer,respectful,hopeful,allure,progress,gentle,legend,dreamer,companion,excellence,affectionate,wellness,admired,healthy,humorous,energetic,attractive,spectacular,talented,unique,satisfied,value,devoted,expert,pleased,hugger,tolerance,learner,buff,easygoing,comfortable,fun,capable,honest,athlete,blissful,happy,graceful,zest,lucky,winner,wise,spontaneity,helper,adventurer,jolly,useful,peaceful,appeal,academic,visionary,optimist,creative,productive,hostess,mercy,enjoyable,commitment,skilled,confident,openness,radiant,asset,healer,vibrant
entertainer,1,0.05,0.01,0.01,0.11,0.06,-0.03,0.18,0.19,0,0.1,0.11,0.08,0.01,0.05,0.07,0.02,0.03,0.05,0.05,0.05,0.07,0.04,-0.01,-0.01,0.03,0.08,0.03,0.03,0.03,0.04,0.07,0.12,-0.02,-0.03,0.01,0.09,0,0.05,0.1,0.1,0.08,0.04,0.03,0.04,0.12,-0.05,0.16,0.03,0.03,0.15,0.08,0.06,0.15,0.15,0.18,0.11,0.1,0.07,0.07,-0.04,-0.02,0.04,-0.06,0.04,0.16,0.08,0.11,0.04,0.07,0.06,0.1,0.06,-0.01,0.09,0.12,0.11,0.05,0.01,0.07,0.02,0.22,0.02,0.07,0.09,0.11,-0.12,0.13,0.25,0.13,0.03,0.22,0.07,0.1,0.01,0.07,-0.03,0.06,0,0.06
achievement,0.05,1,0.09,0.19,0.07,0.14,0.04,0.18,0.21,0.3,0.16,0.18,0.01,0.18,0.1,0.17,0.05,0.05,0.27,0.09,0.03,0.36,0.11,0.03,0.01,0.04,0.13,0.21,0.06,0.06,0.06,0.3,0.15,0.08,0.13,0.13,0.06,0.12,-0.02,0.33,0.06,0.12,0.18,0.09,0.28,0.08,0,0.22,0.03,0.25,0.26,0.18,0.27,0.37,0.23,0.22,0.12,0.31,0.28,0.09,0.04,0.05,0.14,-0.01,0.14,0.19,0.09,0.24,0.19,0.3,0.11,0.05,0.12,-0.07,0.1,0.31,0.05,0.04,0.12,0.1,0.01,0.1,0.17,0.14,0.4,0.1,0.11,0.22,0.15,0.05,0.04,0.2,0.28,0.1,0.22,0.25,0.04,0,0,0.05
mentor,0.01,0.09,1,0.01,0.05,0.06,0.14,0.65,0.04,0.09,0.08,0.22,-0.02,0.08,0.15,0.11,-0.08,0.02,0.06,0.07,0.11,0.23,0.22,-0.03,0.09,0.09,0.1,-0.02,0.03,0.03,0.25,0.06,0.06,0.09,0.01,0.05,0.04,0.18,0.18,0.11,0.15,0.06,0.1,0.12,0.15,0.09,0.03,0,0.06,0.14,-0.02,0.24,0.08,0.14,0.23,0.21,0.06,0.08,0.16,0.15,0.02,0.07,0.16,0.05,0.03,0.23,-0.02,0.13,0.26,0.05,0.09,0.15,0.05,0.05,0.06,0.06,0.13,0.17,0.11,0.02,0.02,0.06,0,0.14,0.17,0.18,0.05,0.28,0.16,0.11,0.26,0.16,0.37,0.01,0.27,0.55,0,0.03,0.07,0.16
unity,0.01,0.19,0.01,1,0,0.14,0.01,0.04,0.17,0.13,0.1,0.1,0.04,0.08,0.04,0.05,0.01,0.05,0.02,-0.03,0.04,0.08,0.09,0.1,-0.02,0.02,0.03,0.02,0.1,-0.03,0.04,0.08,0.17,0.08,0.12,0.09,0.03,0.08,0.03,0.13,0.02,0.05,0,0,0.09,0,-0.01,0.05,0,0.13,0.02,0.13,0.06,0.06,0.14,0.1,0.08,0.16,0.02,0.06,0,0.02,-0.01,0.17,0.08,0.06,0.04,0.08,0.08,0.06,0.02,0.05,0.03,-0.01,0,0.03,0,-0.05,-0.03,0.04,0,0.06,0.25,0.17,0.01,0.04,0.01,0.11,0.07,0.15,0.09,0.16,0.07,0.15,0.12,0.05,0,0.01,0.02,-0.02
smiley,0.11,0.07,0.05,0,1,0.03,-0.04,0.05,0.04,0.18,-0.04,0.24,-0.05,0.04,-0.01,0.23,-0.01,0.19,0.11,0.08,0.02,0.09,0.04,0.06,0.08,0.12,0.1,0.01,-0.04,0.02,0.15,0.29,0.17,0.07,0.08,0.04,0.22,0.07,0.01,0.08,0.14,0.14,-0.07,0.15,0.01,0.11,0.03,0.09,0.01,0.11,0.12,0.08,0.13,0.05,0.03,0.18,0.08,0.2,0.16,0.08,0.07,0,0.02,0.15,0.08,0.16,0.07,0.02,0.14,0.02,0.15,0.08,0.13,-0.02,0.1,0.01,0.05,0.04,0.14,-0.04,0.22,0.01,0.1,-0.06,0.13,0.11,0.18,-0.04,0.01,0.13,0.13,0.01,0.11,-0.01,0.05,-0.01,0.02,0.04,0.03,0.04
merit,0.06,0.14,0.06,0.14,0.03,1,0.18,0.13,0.19,0.12,0.18,0.09,0.06,0.28,0.09,0.19,0.14,0.13,0.14,0.06,0.07,0.13,0.03,0.09,0.01,0.07,0.14,0.07,-0.02,0.08,0.11,0.1,0.2,0.11,0.18,0.12,0.12,0.13,0,0.2,0.17,-0.01,0.08,0.14,0.19,0.12,-0.04,0.16,-0.03,0.09,0.29,0.14,0.04,0.11,0.12,0.22,0.06,0.28,0.21,0.15,-0.04,-0.02,0.2,0.09,0.14,0.11,0.03,0.22,0.27,-0.01,0.11,0.08,0.04,0.07,0.09,0.16,0.14,0.02,0.04,0.04,0.11,0.12,0.04,0.14,0.14,0.14,0.05,0.23,0.01,0.17,0.14,0.02,0.17,0.11,0.09,0.08,0.04,0.04,0.15,0.06
seeker,-0.03,0.04,0.14,0.01,-0.04,0.18,1,0.09,0.09,-0.04,-0.02,0.02,0.01,0.09,0.09,0.08,0.11,0.05,0.01,0,0.11,0.09,0.1,0.09,0.09,0.06,0.04,0.05,0.04,0.01,0.07,-0.02,0.06,0.15,0.08,0.2,0.11,0.19,-0.07,0.05,0.06,0.06,0.13,0.02,0.05,-0.06,-0.02,0.06,-0.06,-0.01,0.1,0.07,0.07,0.09,0.05,0.04,0.03,0.04,0.14,0.07,-0.01,0.01,0.12,0.08,0.05,0.04,0.03,0.07,0.26,0.07,0.03,0.08,0.08,0.03,0.09,-0.01,0.12,0.01,0.18,0.14,0.02,0.04,-0.05,0.08,0.04,-0.01,0.04,0.11,0.13,-0.02,0.04,0.09,0.26,0.15,0.16,0.13,0,0.01,0.06,-0.01
esteem,0.18,0.18,0.65,0.04,0.05,0.13,0.09,1,0.13,0.08,0.1,0.28,-0.02,0.04,0.13,0.22,-0.04,0.14,0.15,0.13,0.06,0.3,0.17,-0.09,0.04,0.12,0.06,-0.02,-0.04,0.07,0.26,0.2,0.15,0.09,-0.02,0.05,0.04,0.14,0.23,0.18,0.15,0.07,0.1,0.17,0.11,0.22,0.13,0.17,0.17,0.05,0.1,0.39,0.1,0.2,0.38,0.4,0.1,0.19,0.15,0.22,0.07,0.09,0.1,0,0.09,0.42,0.05,0.26,0.31,0.1,0.19,0.29,0.11,0.06,0.06,0.14,0.16,0.11,0.07,0.03,0.09,0.1,0.06,0.16,0.18,0.17,-0.05,0.28,0.2,0.14,0.19,0.29,0.4,0.04,0.35,0.61,0.02,0.02,0.03,0.13
wealth,0.19,0.21,0.04,0.17,0.04,0.19,0.09,0.13,1,0.13,0.13,0.07,0.02,0.17,0.09,0.15,0.08,0.12,0.05,0.14,0.05,0.19,0.15,-0.05,0.02,0.07,0.19,-0.01,-0.01,0.03,0.06,0.16,0.24,0.08,0.04,0.01,0.14,0.19,-0.05,0.33,0.12,0.2,0.18,0.1,0.17,0.03,0.01,0.27,-0.01,0.04,0.2,0.16,0.11,0.15,0.18,0.19,0.3,0.21,0.14,0.17,-0.01,0.01,0.02,0.04,0.22,0.17,-0.01,0.16,0.16,0.06,0.07,0.09,0.16,0.19,0.16,0.08,0.11,0.04,0.04,0.34,0.08,0.12,0.26,0.03,0.11,0.12,0.01,0.08,0.34,0.07,0.05,0.11,0.11,0.36,0.03,0.05,0.05,0.01,0.02,0.04
proficiency,0,0.3,0.09,0.13,0.18,0.12,-0.04,0.08,0.13,1,0.05,0.12,0,0.13,0.13,0.21,-0.04,0.17,0.1,0,0.02,0.24,0,0.15,0.04,0.02,0.13,0,0.04,0.02,0.04,0.15,0.08,0.02,-0.02,0.06,0.06,0.07,0.07,0.15,0.16,0.06,0.04,0.11,0.24,0.06,0.04,0.13,-0.01,0.16,0.2,0.16,0.14,0.14,0.12,0.19,0.11,0.28,0.17,0.12,-0.04,0.03,0.26,0.05,0.08,0.13,-0.01,0.22,0.05,0.32,0.14,0.05,0.18,0,0.08,0.14,0.12,0,0.05,-0.01,0.1,0.09,0.02,0.03,0.29,0.09,0,0.15,0.02,0.06,0.14,0.09,0.02,0.11,0.07,0.03,0.09,0.02,0.04,0.12
